,Shares,Cost(Euro/share),Profit(% post 2 years)
0,Share-xU2E93,361.6,11
1,Share-5pRwLk,644.0,2
2,Share-U9Xu3T,37.1,19
3,Share-HSRHTI,838.5,3
4,Share-rfTXnr,48.8,9
5,Share-mO6WbC,470.4,11
6,Share-YfKEmD,797.2,10
7,Share-dJMhKP,756.1,19
8,Share-P0Okss,673.2,6
9,Share-aNaT3A,449.8,9
10,Share-G1cv97,605.9,10
11,Share-ugaqTu,715.6,4
12,Share-KFc7z5,742.1,8
13,Share-wGMCqN,647.4,9
14,Share-1fMXjS,200.1,3
15,Share-hY7boT,478.5,7
16,Share-X3uyOJ,145.9,12
17,Share-I4gN5F,187.0,10
18,Share-XAaAm7,211.5,17
19,Share-it6koa,755.2,18
20,Share-asOCcD,835.2,17
21,Share-w3Qd5P,693.6,2
22,Share-7e0O8b,525.9,2
23,Share-mtql7s,327.1,16
24,Share-ztEtr0,47.9,8
25,Share-cpBDeA,448.1,14
26,Share-sAwJQB,358.1,13
27,Share-rf89BI,509.9,1
28,Share-SIGKGA,7.4,10
29,Share-2usklK,63.6,8
30,Share-lzkvqe,279.9,12
31,Share-H1MiVT,705.6,12
32,Share-RxFSmA,875.4,6
33,Share-qF1N4w,436.0,5
34,Share-Y62vVC,654.8,16
35,Share-qEwdd8,47.5,8
36,Share-cKwhsM,36.8,3
37,Share-zPYeg3,172.6,3
38,Share-yj3mlS,974.6,5
39,Share-5Lf1nR,172.4,17
40,Share-sxp2Wj,773.4,17
41,Share-mAdeDP,566.6,4
42,Share-Tb4LeN,751.2,1
43,Share-ZQaQim,269.3,13
44,Share-41S9mR,722.2,4
45,Share-quFVAE,400.3,1
46,Share-j48FiA,192.8,6
47,Share-g3rbci,506.5,13
48,Share-J3Yg15,818.6,7
49,Share-YT7nkq,996.5,13
50,Share-yk4WYh,130.5,6
51,Share-INC0Qe,448.8,2
52,Share-C6igkZ,643.5,4
53,Share-IkTAtz,41.6,15
54,Share-WI3Caz,863.9,11
55,Share-IuDX97,336.6,2
56,Share-6thRfW,922.1,14
57,Share-TSR4wP,968.6,15
58,Share-w5HaZA,497.5,3
59,Share-zG4mqi,481.3,9
60,Share-OInMHZ,115.2,7
61,Share-KQM1lO,499.7,13
62,Share-Phc7s9,687.4,17
63,Share-teLUI6,774.6,12
64,Share-JhtSs6,289.8,8
65,Share-RyA2Pn,422.4,9
66,Share-ZDrqqW,242.6,10
67,Share-9O5tsK,175.3,4
68,Share-3YJkMY,368.0,14
69,Share-NoCAXj,630.8,13
70,Share-jZSWQz,683.9,16
71,Share-ziRWI6,852.9,4
72,Share-Q5IVt8,462.3,9
73,Share-0OtXPo,346.9,4
74,Share-GWMAJ1,5.2,3
75,Share-UUW45W,228.8,13
76,Share-PDjfC8,876.9,6
77,Share-9KVPyT,879.8,5
78,Share-OeXsyQ,848.9,4
79,Share-SDkuDi,359.3,17
80,Share-SxTcso,866.7,9
81,Share-wMIjDI,37.1,11
82,Share-eX3VHv,594.3,4
83,Share-pObwba,410.4,9
84,Share-Sd64ei,738.2,19
85,Share-cDyoHl,457.9,15
86,Share-S2jSrL,884.9,11
87,Share-aAuvBm,235.1,12
88,Share-0c1tRo,127.8,7
89,Share-FI2fyJ,515.8,14
90,Share-8lm2XU,810.6,2
91,Share-JPUHGE,667.7,14
92,Share-xAlmq2,790.9,17
93,Share-NWv5Ck,891.0,6
94,Share-y38daz,7.2,6
95,Share-Lki7LD,489.2,15
96,Share-p7b1uJ,219.9,3
97,Share-Q9xe1G,16.8,18
98,Share-u8tufw,194.7,13
99,Share-phQXLv,879.2,1
100,Share-RXiaQm,592.6,10
101,Share-4xrjRE,901.8,14
102,Share-S9yxQC,273.4,9
103,Share-mmmEfq,90.8,4
104,Share-55DunO,563.3,6
105,Share-xUkeod,876.9,13
106,Share-h9rXKh,294.3,14
107,Share-s3j3F9,598.9,15
108,Share-VGT2mR,62.5,1
109,Share-zSPtGL,540.2,13
110,Share-ILlOiw,163.1,14
111,Share-BGB8jW,850.4,2
112,Share-fRNB5I,629.9,10
113,Share-Uf78sd,639.4,8
114,Share-qeFPQQ,811.3,2
115,Share-P5FakW,340.9,6
116,Share-yhfjHl,356.3,19
117,Share-OUyYaQ,578.6,12
118,Share-1afj8f,470.8,5
119,Share-xqNFCD,207.1,18
120,Share-ze0Ozu,839.6,19
121,Share-sOn9Mb,187.2,11
122,Share-q2aJIk,415.5,4
123,Share-5YXZo2,396.0,7
124,Share-aSLOtP,357.6,9
125,Share-KprxbL,641.6,9
126,Share-GPpIT3,258.4,6
127,Share-eknHhz,754.7,17
128,Share-cdLiUm,154.3,9
129,Share-J0fdgj,695.2,5
130,Share-v7vz4W,470.8,2
131,Share-Z5NijL,653.7,3
132,Share-Wtmg5j,854.3,2
133,Share-NLst2h,801.8,4
134,Share-n2rGsq,250.7,12
135,Share-OZR9Ow,888.5,10
136,Share-zPfnVc,970.6,18
137,Share-ZSOpbX,749.5,7
138,Share-yGvJyi,113.0,18
139,Share-5c1lww,527.2,4
140,Share-6DjR0a,510.1,3
141,Share-e4gf4u,453.6,18
142,Share-neHa0m,123.2,1
143,Share-0ZbmHF,660.8,13
144,Share-Wz8xur,415.3,14
145,Share-vAmQKZ,740.0,1
146,Share-uOB4lY,213.7,3
147,Share-o6H1Ip,818.2,8
148,Share-8muWft,0.9,9
149,Share-9FI85w,145.6,9
150,Share-EFYnZt,476.8,5
151,Share-w07lU5,355.4,13
152,Share-nJaUfp,540.0,9
153,Share-HxGp8T,47.4,7
154,Share-kjDDuX,524.4,18
155,Share-RTgpIy,853.0,2
156,Share-4MXe5P,874.1,2
157,Share-Cs6jkh,467.5,16
158,Share-yPTEOn,952.7,4
159,Share-CRNemA,280.8,6
160,Share-i7JTrR,936.6,1
161,Share-0DZWcA,522.4,1
162,Share-1rbM5s,357.6,6
163,Share-U6I4Jz,674.0,6
164,Share-pMaqg8,848.4,15
165,Share-Efix1o,533.3,15
166,Share-woOuxP,854.2,11
167,Share-xKnrZE,203.3,14
168,Share-VsneNz,650.5,12
169,Share-3R8jZW,422.1,12
170,Share-rCV3oK,741.3,12
171,Share-ETCh22,48.2,14
172,Share-LkUnGJ,391.7,17
173,Share-RWhUkG,32.1,9
174,Share-5iRuxY,664.2,19
175,Share-4FJ2zU,270.9,15
176,Share-j179HH,984.7,12
177,Share-DTHEac,530.1,8
178,Share-baz2Nz,148.6,16
179,Share-mBxmGA,332.4,15
180,Share-gSRvcq,59.2,4
181,Share-S4oVIl,501.7,11
182,Share-9Isded,235.0,14
183,Share-qg6Rww,610.4,19
184,Share-H2st6V,824.3,7
185,Share-G5F49I,930.8,12
186,Share-H2tRKv,12.4,14
187,Share-FbPXbT,16.2,16
188,Share-2XHNaa,949.7,9
189,Share-HbKpdZ,10.6,2
190,Share-QqmEjq,865.0,17
191,Share-muOQ3L,763.3,16
192,Share-O4sjuD,166.5,4
193,Share-IR3OPN,681.9,16
194,Share-gKsAQl,733.3,15
195,Share-neswYA,423.1,6
196,Share-v5fh2t,832.6,4
197,Share-ZZPLGD,916.7,16
198,Share-lT3NGc,176.2,16
199,Share-pwB2cv,731.9,4
200,Share-hGpUR4,974.5,7
201,Share-OlkIsp,794.2,3
202,Share-YloJ66,301.4,16
203,Share-bQ1zun,365.5,8
204,Share-a315LP,343.0,6
205,Share-1oYA4Q,581.9,7
206,Share-m39bN6,473.5,15
207,Share-RJsra5,22.1,3
208,Share-0SDDvu,971.6,19
209,Share-XUc39l,124.6,9
210,Share-j0xmbh,317.1,5
211,Share-OB2BIA,397.7,7
212,Share-dySfjC,415.9,4
213,Share-lHEnqj,403.8,13
214,Share-vy4nGN,594.0,2
215,Share-aPSMNn,248.7,9
216,Share-QnvbEd,66.2,13
217,Share-6dexx6,78.3,8
218,Share-TqEegQ,68.4,6
219,Share-3QFr1A,251.8,12
220,Share-gkVpcx,461.9,12
221,Share-n1VVUG,645.8,14
222,Share-PM0elD,40.1,13
223,Share-lNtwNT,274.7,3
224,Share-0rGHOU,977.4,19
225,Share-kwH4LF,886.8,6
226,Share-0kuOJb,737.4,2
227,Share-764b8A,366.2,13
228,Share-Tpr4F3,485.6,6
229,Share-vJjnwW,829.6,1
230,Share-GkG6FG,563.5,3
231,Share-k5Q81E,828.9,15
232,Share-ovX737,386.6,11
233,Share-VHIZ5J,298.1,11
234,Share-qUG3kh,814.4,15
235,Share-muXLZQ,540.1,3
236,Share-1uduFR,972.1,11
237,Share-8e9ysC,624.3,16
238,Share-7Ec5h2,746.7,3
239,Share-8Ubr3Y,425.0,3
240,Share-y65fl7,408.8,3
241,Share-zZn0T4,377.5,13
242,Share-k52fs7,526.2,10
243,Share-fzRI5B,966.5,17
244,Share-3cl3cu,138.3,18
245,Share-CC3oIp,908.5,17
246,Share-6nRDiQ,523.3,14
247,Share-1XBz59,227.4,8
248,Share-xoJMME,888.0,7
249,Share-cGLTUx,297.6,17
250,Share-QMFtOE,458.6,3
251,Share-EwHxzi,820.0,12
252,Share-DNd5GL,33.4,7
253,Share-ioWE0f,30.4,1
254,Share-PgkhTM,86.6,17
255,Share-RidcSz,343.8,19
256,Share-tRJ0nW,647.9,14
257,Share-4tk4yi,944.8,11
258,Share-JIc9KY,987.5,9
259,Share-4nbz7z,542.3,16
260,Share-X0BGpr,797.4,9
261,Share-3b0j7h,747.8,14
262,Share-gSJHJF,749.0,14
263,Share-Bz05cR,417.7,19
264,Share-77YEVx,710.1,3
265,Share-LAcnnP,140.9,15
266,Share-AMIZOG,837.0,9
267,Share-7m8BoN,618.8,14
268,Share-JN1nry,856.2,5
269,Share-u8YA6F,124.1,13
270,Share-XT3G6I,716.0,15
271,Share-Cw0HSF,873.8,15
272,Share-E8TtHv,619.5,14
273,Share-SgbDtN,330.1,12
274,Share-1cgQEU,936.3,5
275,Share-ALfjpB,105.4,14
276,Share-8WtSxV,913.3,19
277,Share-vYHF48,901.2,17
278,Share-FSA06D,946.2,12
279,Share-Q09T4E,49.5,13
280,Share-eYtuh4,617.4,17
281,Share-67E3ka,162.9,19
282,Share-KIRZi2,396.5,18
283,Share-lthvpV,701.3,18
284,Share-bjkyaH,620.6,18
285,Share-cAsmwX,383.3,4
286,Share-PwMZX5,545.0,7
